critic,fresh,imdb,publication,quote,review_date,rtid,title
Roger Ebert,0,113870,Chicago Sun-Times,"Slater, who in certain shots looks curiously like Kevin Costner, is an actor with talent, but he is too young for this role, and not confident enough to dial down a little.",1/1/00,14578,Murder in the First
Mick LaSalle,0,113870,San Francisco Chronicle,An example of what happens when a picture has everything going for it except good writing and good direction.,1/1/00,14578,Murder in the First
,0,113870,Entertainment Weekly,,6/1/94,14578,Murder in the First
,0,91642,Variety,,10/17/08,12500,Nobody's Fool
,0,91642,Time Out,,6/24/06,12500,Nobody's Fool
Vincent Canby,0,91642,New York Times,,5/20/03,12500,Nobody's Fool
Paul Attanasio,0,91642,Washington Post,,1/1/00,12500,Nobody's Fool
Roger Ebert,0,91642,Chicago Sun-Times,,1/1/00,12500,Nobody's Fool
Owen Gleiberman,1,110638,Entertainment Weekly,,9/7/11,10671,Nell
Todd McCarthy,0,110638,Variety,,11/10/08,10671,Nell
,0,110638,Time Out,,1/26/06,10671,Nell
Janet Maslin,0,110638,New York Times,,5/20/03,10671,Nell
,0,110638,Globe and Mail,,4/12/02,10671,Nell
James Berardinelli,1,110638,ReelViews,,1/1/00,10671,Nell
Rita Kempley,0,110638,Washington Post,,1/1/00,10671,Nell
Stanley Kauffmann,0,110638,The New Republic,,1/1/00,10671,Nell
Edward Guthmann,0,110638,San Francisco Chronicle,,1/1/00,10671,Nell
Roger Ebert,1,110638,Chicago Sun-Times,,1/1/00,10671,Nell
,1,110638,Entertainment Weekly,,12/14/94,10671,Nell
,0,113967,Variety,,2/23/12,16129,New Jersey Drive
Owen Gleiberman,1,113967,Entertainment Weekly,,9/7/11,16129,New Jersey Drive
Todd McCarthy,0,113967,Variety,,3/26/09,16129,New Jersey Drive
,0,113967,Time Out,,1/26/06,16129,New Jersey Drive
Caryn James,0,113967,New York Times,,5/20/03,16129,New Jersey Drive
Peter Rainer,0,113967,Los Angeles Times,,2/13/01,16129,New Jersey Drive
Peter Stack,0,113967,San Francisco Chronicle,,1/1/00,16129,New Jersey Drive
Hal Hinson,0,113967,Washington Post,,1/1/00,16129,New Jersey Drive
James Berardinelli,0,113967,ReelViews,,1/1/00,16129,New Jersey Drive
Roger Ebert,1,113967,Chicago Sun-Times,,1/1/00,16129,New Jersey Drive
,1,113967,Entertainment Weekly,,4/19/95,16129,New Jersey Drive
,0,106402,Time Out,,2/9/06,770681517,Beyond Bedlam
,0,113948,Chicago Reader,,1/10/04,770686261,Nemesis 2: Nebula
Todd McCarthy,0,110671,Variety,,3/26/09,706686850,Nina Takes a Lover
,0,110671,Time Out,,1/26/06,706686850,Nina Takes a Lover
Stephen Holden,0,110671,New York Times,,5/20/03,706686850,Nina Takes a Lover
Kevin Thomas,0,110671,Los Angeles Times,,2/13/01,706686850,Nina Takes a Lover
Mick LaSalle,0,110671,San Francisco Chronicle,,1/1/00,706686850,Nina Takes a Lover
James Berardinelli,0,110671,ReelViews,,1/1/00,706686850,Nina Takes a Lover
Roger Ebert,0,110671,Chicago Sun-Times,,1/1/00,706686850,Nina Takes a Lover
Owen Gleiberman,1,110632,Entertainment Weekly,,9/7/11,17098,Natural Born Killers
Todd McCarthy,0,110632,Variety,,3/26/09,17098,Natural Born Killers
,0,110632,Time Out,,1/26/06,17098,Natural Born Killers
Janet Maslin,0,110632,New York Times,"As a satirist, [Stone's] an elephant ballerina.",5/20/03,17098,Natural Born Killers
Peter Travers,1,110632,Rolling Stone,"This is one of my all time favorite movies, and it put Oliver Stone on my list of 'Best Directors Ever,' right along with Stanley [Kubrick].",5/12/01,17098,Natural Born Killers
James Berardinelli,0,110632,ReelViews,"Stone...doesn't know the meaning of moderation or subtlety, and opts instead for something that is excessive and self-indulgent. It's as if he wants to shout out the statement: 'Look at what I can do! I'm an artist!'",1/1/00,17098,Natural Born Killers
Roger Ebert,1,110632,Chicago Sun-Times,"Seeing this movie once is not enough. The first time is for the visceral experience, the second time is for the meaning.",1/1/00,17098,Natural Born Killers
Hal Hinson,0,110632,Washington Post,The main problem with Killers...is that it degenerates into the very thing it criticizes.,1/1/00,17098,Natural Born Killers
Desson Thomson,0,110632,Washington Post,"Welcome to Natural Born Killers, Stone's empty, manic meditation on society's glorification of violence and the ugly heroes it loves to hate.",1/1/00,17098,Natural Born Killers
Stanley Kauffmann,0,110632,The New Republic,,1/1/00,17098,Natural Born Killers
,1,110632,Entertainment Weekly,,8/26/94,17098,Natural Born Killers
Owen Gleiberman,0,110737,Entertainment Weekly,,9/7/11,10313,Only You
Todd McCarthy,0,110737,Variety,,10/18/08,10313,Only You
,0,110737,Time Out,,1/26/06,10313,Only You
Janet Maslin,0,110737,New York Times,,5/20/03,10313,Only You
,0,110737,Globe and Mail,,4/12/02,10313,Only You
Peter Travers,0,110737,Rolling Stone,,5/12/01,10313,Only You
Desson Thomson,0,110737,Washington Post,,1/1/00,10313,Only You
Rita Kempley,0,110737,Washington Post,,1/1/00,10313,Only You
Roger Ebert,1,110737,Chicago Sun-Times,,1/1/00,10313,Only You
James Berardinelli,0,110737,ReelViews,,1/1/00,10313,Only You
,0,110737,Entertainment Weekly,,10/7/94,10313,Only You
Owen Gleiberman,1,110729,Entertainment Weekly,,9/7/11,18028,Once Were Warriors
David Stratton,0,110729,Variety,,7/22/08,18028,Once Were Warriors
David Ansen,0,110729,Newsweek,,3/31/08,18028,Once Were Warriors
,0,110729,Time Out,,1/26/06,18028,Once Were Warriors
Janet Maslin,0,110729,New York Times,,5/20/03,18028,Once Were Warriors
Edward Guthmann,1,110729,San Francisco Chronicle,A gut-grabber from New Zealand ... that stays with you for days.,6/18/02,18028,Once Were Warriors
Kenneth Turan,0,110729,Los Angeles Times,"As often happens when films are intent on getting a message across, Once Were Warriors can't stop itself from overdoing things.",2/13/01,18028,Once Were Warriors
Stanley Kauffmann,1,110729,The New Republic,Yet familiar as the pattern is ... the film holds because of the acting and because it functions as travelogue.,1/1/00,18028,Once Were Warriors
Rita Kempley,1,110729,Washington Post,"The actors, many of them of European-Maori descent, are wonderful to look at. They also deliver authoritative yet sympathetic performances that get at the roots, or rootlessness, of their characters.",1/1/00,18028,Once Were Warriors
Roger Ebert,1,110729,Chicago Sun-Times,"It is powerful and chilling, and directed by Lee Tamahori with such narrative momentum that we are swept along in the enveloping tragedy of the family's life.",1/1/00,18028,Once Were Warriors
James Berardinelli,1,110729,ReelViews,"Works, to some degree, on three levels: the visceral, the emotional, and the intellectual, and it is the amalgamation of these that makes this a memorable film.",1/1/00,18028,Once Were Warriors
Desson Thomson,1,110729,Washington Post,"Reserve judgment until this raw, uncompromising working-class saga is over, and you might find yourself unforgettably moved -- and grateful for the experience.",1/1/00,18028,Once Were Warriors
,1,110729,Entertainment Weekly,,1800-01-01,18028,Once Were Warriors
Deborah Young,0,114151,Variety,,8/31/10,13660,Poison Ivy II
,0,114069,Variety,,2/23/12,13283,Outbreak
Owen Gleiberman,1,114069,Entertainment Weekly,,9/7/11,13283,Outbreak
Todd McCarthy,0,114069,Variety,,3/26/09,13283,Outbreak
,0,114069,Time Out,,1/26/06,13283,Outbreak
Janet Maslin,0,114069,New York Times,,5/20/03,13283,Outbreak
,0,114069,Globe and Mail,,4/12/02,13283,Outbreak
Peter Rainer,0,114069,Los Angeles Times,,2/13/01,13283,Outbreak
Stanley Kauffmann,0,114069,The New Republic,"Hoffman doesn't get the chance, or need, to act: he just does things, like Ford.",1/1/00,13283,Outbreak
Rita Kempley,1,114069,Washington Post,An absolute hoot.,1/1/00,13283,Outbreak
Mick LaSalle,1,114069,San Francisco Chronicle,This is a picture good enough to make you want to go to the movies and frightening enough to make you wonder if you should avoid the crowds.,1/1/00,13283,Outbreak
Desson Thomson,0,114069,Washington Post,"Displays all the initial symptoms of a promising thriller, it soon degenerates into a low-fever whodunit.",1/1/00,13283,Outbreak
Roger Ebert,1,114069,Chicago Sun-Times,One of the great scare stories of our time.,1/1/00,13283,Outbreak
John Hartl,0,114069,Film.com,"Comes off as a shrill, self-important bore.",1/1/00,13283,Outbreak
James Berardinelli,0,114069,ReelViews,"No one likes to be teased, but that's exactly what this movie does to us, with predictably frustrating results.",1/1/00,13283,Outbreak
Richard Corliss,0,114069,TIME Magazine,"A big, bustling, intermittently dippy melodrama.",1/1/00,13283,Outbreak
Lucy Mohl,0,114069,Film.com,A clunky thriller.,1/1/00,13283,Outbreak
,1,114069,Entertainment Weekly,,6/1/94,13283,Outbreak
Lisa Schwarzbaum,1,110413,Entertainment Weekly,Mathilda is like no New York City girl-child I've ever seen riding the subway. And I couldn't take my eyes off her.,7/6/10,17094,Léon
Lisa Nesselson,0,110413,Variety,A naive fairy tale splattered with blood.,9/26/07,17094,Léon
Jonathan Rosenbaum,0,110413,Chicago Reader,Ultimately seems at once too deranged and too mechanical.,9/26/07,17094,Léon
Geoff Andrew,0,110413,Time Out,"Besson fails to make much of New York's visual potential, and lazily asks that Leon's expertise be taken on trust. The shallowness was to be expected; the slackness is surprising.",2/9/06,17094,Léon
Janet Maslin,0,110413,New York Times,"The Professional is much too sentimental to sound shockingly amoral in the least. Even in a finale of extravagant violence, it manages to be maudlin.",8/30/04,17094,Léon
Hal Hinson,1,110413,Washington Post,One pretty awesome action movie.,1/1/00,17094,Léon
Richard Schickel,1,110413,TIME Magazine,"The bonding of Mathilda and Leon may be among the strangest in the long, tiresome history of odd-couple movies.",1/1/00,17094,Léon
James Berardinelli,1,110413,ReelViews,"It is stylish, darkly humorous, and almost artsy in its approach to the genre.",1/1/00,17094,Léon
Roger Ebert,0,110413,Chicago Sun-Times,Always at the back of my mind was the troubled thought that there was something wrong about placing a 12-year-old character in the middle of this action.,1/1/00,17094,Léon
Lisa Schwarzbaum,0,114113,Entertainment Weekly,,9/7/11,15207,The Perez Family
,0,114113,Variety,,3/26/09,15207,The Perez Family
Emanuel Levy,0,114113,Variety,"Mira Nair's consistent exploration of the search for home is admirable, but her movie is burdened by an unconvincing ensemble that's unable to elevate the serio-comic exploration of Cuban immigrants into a poignant tale.",10/8/06,15207,The Perez Family
Derek Adams,0,114113,Time Out,,6/24/06,15207,The Perez Family
Caryn James,0,114113,New York Times,,8/30/04,15207,The Perez Family
,0,114113,Globe and Mail,,4/12/02,15207,The Perez Family
Mike Clark,1,114113,USA Today,"Mira Nair's Mississippi Masala found humor in ethnic chaos, and the Indian-born director does so again.",1/1/00,15207,The Perez Family
Hal Hinson,0,114113,Washington Post,,1/1/00,15207,The Perez Family
Mick LaSalle,0,114113,San Francisco Chronicle,,1/1/00,15207,The Perez Family
Roger Ebert,1,114113,Chicago Sun-Times,,1/1/00,15207,The Perez Family
Desson Thomson,0,114113,Washington Post,,1/1/00,15207,The Perez Family
James Berardinelli,0,114113,ReelViews,,1/1/00,15207,The Perez Family
,0,114113,Entertainment Weekly,,5/12/95,15207,The Perez Family
Owen Gleiberman,0,114210,Entertainment Weekly,,9/7/11,12475,A Pyromaniac's Love Story
Joe Leydon,0,114210,Variety,,3/26/09,12475,A Pyromaniac's Love Story
Derek Adams,0,114210,Time Out,,2/9/06,12475,A Pyromaniac's Love Story
Stephen Holden,0,114210,New York Times,,5/20/03,12475,A Pyromaniac's Love Story
Peter Rainer,0,114210,Los Angeles Times,,2/13/01,12475,A Pyromaniac's Love Story
Roger Ebert,0,114210,Chicago Sun-Times,,1/1/00,12475,A Pyromaniac's Love Story
James Berardinelli,0,114210,ReelViews,,1/1/00,12475,A Pyromaniac's Love Story
Mick LaSalle,0,114210,San Francisco Chronicle,,1/1/00,12475,A Pyromaniac's Love Story
Michael Wilmington,1,110912,Chicago Tribune,"This movie gets its charge not from action pyrotechnics but from its electric barrage of language, wisecracks and dialogue, from the mordant '70s classicism of its long-take camera style and its smart, offbeat, strangely sexy cast.",5/15/13,13863,Pulp Fiction
Kenneth Turan,0,110912,Los Angeles Times,"The result, especially in the scenes involving Bruce Willis as a nervy boxer, can be long patches of dialogue that must have tickled Tarantino but will not necessarily resonate for anyone else.",5/15/13,13863,Pulp Fiction
Anthony Lane,1,110912,New Yorker,"The talk is dirty and funny, the violence always waiting just around the corner.",5/15/13,13863,Pulp Fiction
Carrie Rickey,1,110912,Philadelphia Inquirer,"Whether you call it razzmatazz, pizazz or sizzle, Pulp Fiction's got it, enough style for a dozen movies and, truth be told, enough story for five.",5/15/13,13863,Pulp Fiction
John Hartl,1,110912,Seattle Times,"At 153 minutes, the movie does occasionally flirt with tedium, but the risk is worth it: The whole is finally greater than the sum of its pulpy parts. What could have been an anything-goes pastiche has surprising rigor and narrative clarity.",5/15/13,13863,Pulp Fiction
Jay Boyar,1,110912,Orlando Sentinel,"In terms of mood and style, it could be the most influential film to come along since Blue Velvet.",5/15/13,13863,Pulp Fiction
Gene Siskel,1,110912,Chicago Tribune,"If you smile at David Mamet's dialogue, you'll laugh out loud at the words of Quentin Tarantino.",1/16/13,13863,Pulp Fiction
Owen Gleiberman,1,110912,Entertainment Weekly,"Tarantino's dialogue, with its densely propulsive, almost lawyerly fervor, its peppery comic blend of literacy and funk, has more snap and fight than most directors' action scenes.",9/7/11,13863,Pulp Fiction
Richard Corliss,1,110912,TIME Magazine,"Tarantino's guilty secret, which the international critics should have noticed, is that his films are cultural hybrids.",3/29/11,13863,Pulp Fiction
David Ansen,1,110912,Newsweek,"Just when you thought the last thing the world needed was another violent, self-conscious, hipster homage to film noir, along comes Tarantino to blow away your deja vu.",7/6/10,13863,Pulp Fiction
Stanley Kauffmann,0,110912,The New Republic,"The way that this picture has been so widely ravened up and drooled over verges on the disgusting. Pulp Fiction nourishes, abets, cultural slumming.",5/27/09,13863,Pulp Fiction
Todd McCarthy,1,110912,Variety,A spectacularly entertaining piece of pop culture.,3/13/07,13863,Pulp Fiction
Jonathan Rosenbaum,1,110912,Chicago Reader,The overall project is evident: to evict real life and real people from the art film and replace them with generic teases and assorted hommages. Don't expect any of the life experiences of the old movie sources to leak through.,3/13/07,13863,Pulp Fiction
Geoff Andrew,1,110912,Time Out,"It's the way Tarantino embellishes and, finally, interlinks these old chestnuts that makes the film alternately exhilarating and frustrating.",6/24/06,13863,Pulp Fiction
Janet Maslin,1,110912,New York Times,"A triumphant, cleverly disorienting journey through a demimonde that springs entirely from Mr. Tarantino's ripe imagination, a landscape of danger, shock, hilarity and vibrant local color.",5/20/03,13863,Pulp Fiction
Rick Groen,1,110912,Globe and Mail,Scintillating.,4/12/02,13863,Pulp Fiction
Peter Travers,1,110912,Rolling Stone,There's a special kick that comes from watching something this thrillingly alive.,5/12/01,13863,Pulp Fiction
James Berardinelli,1,110912,ReelViews,All the details are executed to perfection. Ironies abound in the smallest situations.,1/1/00,13863,Pulp Fiction
Roger Ebert,1,110912,Chicago Sun-Times,The movie resurrects not only an aging genre but also a few careers.,1/1/00,13863,Pulp Fiction
Lucy Mohl,1,110912,Film.com,"Writer/director Quentin Tarantino demonstrates his encyclopedic grasp of filmmaking by bending, chopping and deconstructing narrative while keeping a groovy beat.",1/1/00,13863,Pulp Fiction
Ben Kenigsberg,0,838232,Time Out,,11/17/11,439092186,The Pink Panther 2
Cole Haddon,0,838232,Film.com,,5/6/11,439092186,The Pink Panther 2
Derek Adams,0,838232,Time Out,"Martin fumbles it from the off. And that, in a nutshell, is reason enough to avoid this as one might any other calamity.",2/12/09,439092186,The Pink Panther 2
Peter Rainer,0,838232,Christian Science Monitor,Martin has a few inspired moments but in order to get to them you have to wade through a mosh pit of unfunny gags.,2/9/09,439092186,The Pink Panther 2
Claudia Puig,0,838232,USA Today,Remember when Martin was funny?,2/6/09,439092186,The Pink Panther 2
Stephanie Zacharek,0,838232,Salon.com,What is our reward for the collective effort of this prestigious assembly? One of the most dreadfully unnecessary movies in recent memory.,2/6/09,439092186,The Pink Panther 2
Joe Morgenstern,0,838232,Wall Street Journal,The soundtrack makes generous use of trombones to indicate humor.,2/6/09,439092186,The Pink Panther 2
Peter Hartlaub,0,838232,San Francisco Chronicle,One can only hope that something good is coming from all the bad movies that Steve Martin has been appearing in.,2/6/09,439092186,The Pink Panther 2
Peter Travers,0,838232,Rolling Stone,Wasn't it bad enough the first time?,2/6/09,439092186,The Pink Panther 2
Kyle Smith,0,838232,New York Post,There's a difference between kid-friendly and just regular old dumb.,2/6/09,439092186,The Pink Panther 2
Joe Neumaier,1,838232,New York Daily News,"None of it is memorable, though the audience it's aimed at will giggle at the adults gone goofy.",2/6/09,439092186,The Pink Panther 2
Colin Covert,0,838232,Minneapolis Star Tribune,Recycling bins have fresher content than this listless exercise in check-the-boxes moviemaking.,2/6/09,439092186,The Pink Panther 2
Betsy Sharkey,0,838232,Los Angeles Times,There's a sort of desperation at work here.,2/6/09,439092186,The Pink Panther 2
Amy Biancolli,0,838232,Houston Chronicle,"For all the obvious cribbing, the filmmakers still seem ill-at-ease with Clouseau's simplistic world view and frank buffoonery.",2/6/09,439092186,The Pink Panther 2
Liam Lacey,0,838232,Globe and Mail,"Another Steve Martin comedy, the same old question -- what happened?",2/6/09,439092186,The Pink Panther 2
Todd McCarthy,1,838232,Variety,Serves up enough goofy pranks and fractured wordplay to keep the series purring along.,2/6/09,439092186,The Pink Panther 2
Tom Long,1,838232,Detroit News,Bottom line: Any laugh's a good laugh these days.,2/6/09,439092186,The Pink Panther 2
Stephen Holden,0,838232,New York Times,"Hoary slapstick routines, invariably rushed, are all there is in The Pink Panther 2.",2/6/09,439092186,The Pink Panther 2
Christopher Orr,0,838232,The New Republic,"[I]f half-hearted remakes of fondly remembered films (and their still more lifeless sequels) are one of the most acute ills currently plaguing Hollywood, [Steve] Martin is arguably the primary vector by which the malady is transmitted.",2/6/09,439092186,The Pink Panther 2
Steven Rea,0,838232,Philadelphia Inquirer,"Although comic mayhem follows Martin's Clouseau everywhere, none of it is particularly funny.",2/5/09,439092186,The Pink Panther 2
Derek Adams,0,105652,Time Out,,6/24/06,770685609,Tui shou
Janet Maslin,0,105652,New York Times,,8/30/04,770685609,Tui shou
,0,105652,Chicago Reader,,12/3/01,770685609,Tui shou
Kevin Thomas,0,105652,Los Angeles Times,,2/13/01,770685609,Tui shou
Owen Gleiberman,1,110889,Entertainment Weekly,,9/7/11,14144,Priest
Ray Bennett,0,110889,Hollywood Reporter,,5/9/11,14144,Priest
Brendan Kelly,0,110889,Variety,,3/26/09,14144,Priest
Derek Adams,0,110889,Time Out,,6/24/06,14144,Priest
Janet Maslin,0,110889,New York Times,,5/20/03,14144,Priest
Peter Stack,1,110889,San Francisco Chronicle,,6/18/02,14144,Priest
,0,110889,Globe and Mail,,4/12/02,14144,Priest
Kenneth Turan,0,110889,Los Angeles Times,,2/21/01,14144,Priest
James Berardinelli,1,110889,ReelViews,,1/1/00,14144,Priest
Stanley Kauffmann,0,110889,The New Republic,,1/1/00,14144,Priest
Roger Ebert,0,110889,Chicago Sun-Times,,1/1/00,14144,Priest
Rita Kempley,0,110889,Washington Post,,1/1/00,14144,Priest
,1,110889,Entertainment Weekly,,3/24/95,14144,Priest
Owen Gleiberman,1,110932,Entertainment Weekly,,9/7/11,11034,Quiz Show
Todd McCarthy,0,110932,Variety,,10/18/08,11034,Quiz Show
Jonathan Rosenbaum,1,110932,Chicago Reader,Robert Redford's best and richest directorial effort...,11/8/07,11034,Quiz Show
Michael Booth,1,110932,Denver Post,"Redford turns a dry subject into high art, matching the achievements of his other directing efforts in Ordinary People and A River Runs Through It.",7/3/07,11034,Quiz Show
Derek Adams,1,110932,Time Out,"Perfectly pitched, the film brims with insight and wit. Highly recommended.",2/9/06,11034,Quiz Show
Janet Maslin,1,110932,New York Times,"Mr. Redford has made a rich, handsome, articulate film about a subject truly worth talking about.",5/20/03,11034,Quiz Show
Peter Travers,1,110932,Rolling Stone,"What Redford is saying isn't new, but it has rarely been said in a mainstream movie with this kind of passion.",5/12/01,11034,Quiz Show
Lucy Mohl,1,110932,Film.com,"Witty, entertaining, intelligent.",1/1/00,11034,Quiz Show
Roger Ebert,1,110932,Chicago Sun-Times,"The screenplay, by former Washington Post film critic Paul Attanasio, is smart, subtle and ruthless.",1/1/00,11034,Quiz Show
James Berardinelli,1,110932,ReelViews,"Crisply directed by Redford from a thought-provoking script by Paul Attanasio, and featuring a slew of strong performances.",1/1/00,11034,Quiz Show
Peter Stack,1,110932,San Francisco Chronicle,Manages a trick that few films even dare try -- to take a hard look at personal and public moral issues and still provide dazzling entertainment.,1/1/00,11034,Quiz Show
Hal Hinson,1,110932,Washington Post,"An exciting achievement, not only the most accomplished film of Redford's directorial career, but one of the best to carry his name.",1/1/00,11034,Quiz Show
Richard Schickel,1,110932,TIME Magazine,Written with clean-cut force by Paul Attanasio and directed with panache by Robert Redford.,1/1/00,11034,Quiz Show
Desson Thomson,1,110932,Washington Post,Artfully constructed and beautifully shot.,1/1/00,11034,Quiz Show
,1,110932,Entertainment Weekly,,9/14/94,11034,Quiz Show
Lisa Schwarzbaum,1,114129,Entertainment Weekly,,9/7/11,11449,Picture Bride
Todd McCarthy,0,114129,Variety,,3/26/09,11449,Picture Bride
Derek Adams,0,114129,Time Out,,2/9/06,11449,Picture Bride
Janet Maslin,0,114129,New York Times,,5/20/03,11449,Picture Bride
Peter Stack,0,114129,San Francisco Chronicle,,6/18/02,11449,Picture Bride
Kevin Thomas,0,114129,Los Angeles Times,,2/13/01,11449,Picture Bride
James Berardinelli,1,114129,ReelViews,,1/1/00,11449,Picture Bride
Rita Kempley,0,114129,Washington Post,,1/1/00,11449,Picture Bride
Roger Ebert,1,114129,Chicago Sun-Times,,1/1/00,11449,Picture Bride
,1,114129,Entertainment Weekly,,4/28/95,11449,Picture Bride
,0,110963,Entertainment Weekly,,11/6/09,13154,La reine Margot
Todd McCarthy,0,110963,Variety,,3/26/09,13154,La reine Margot
Geoff Andrew,0,110963,Time Out,,6/24/06,13154,La reine Margot
Janet Maslin,0,110963,New York Times,,5/20/03,13154,La reine Margot
,0,110963,Globe and Mail,,4/12/02,13154,La reine Margot
Roger Ebert,0,110963,Chicago Sun-Times,,1/1/00,13154,La reine Margot
Edward Guthmann,0,110963,San Francisco Chronicle,,1/1/00,13154,La reine Margot
James Berardinelli,1,110963,ReelViews,,1/1/00,13154,La reine Margot
Owen Gleiberman,0,114214,Entertainment Weekly,,9/7/11,13934,The Quick and the Dead
Derek Adams,1,114214,Time Out,"A deadpan black comedy, Sam Raimi's fast-paced movie looks and sounds like a Leone oater but more so.",6/24/06,13934,The Quick and the Dead
Janet Maslin,1,114214,New York Times,"Mr. Raimi is limited by a sketch mentality, which means his jokes tend to be over long before his films end. But his tastes for visual mischief and crazy, ill-advised homage can still make for sly, sporadic fun.",5/20/03,13934,The Quick and the Dead
Peter Travers,0,114214,Rolling Stone,"What Raimi can't find is a center. He hankers for us to giggle at the brutal archetypes he's parodying and to warm to them, too. It won't wash, pardner.",5/12/01,13934,The Quick and the Dead
Kenneth Turan,0,114214,Los Angeles Times,"Rarely dull, it is not noticeably compelling either, and as the derivative offshoot of a derivative genre, it inevitably runs out of energy well before any of its hotshots runs out of bullets.",2/13/01,13934,The Quick and the Dead
Roger Ebert,0,114214,Chicago Sun-Times,"As preposterous as the plot was, there was never a line of Hackman dialogue that didn't sound as if he believed it. The same can't be said, alas, for Sharon Stone...",1/1/00,13934,The Quick and the Dead
James Berardinelli,0,114214,ReelViews,"Raimi's choice to give the film a comic book-like aura of mingled camp and grit makes for some fitfully energetic and entertaining moments, but it's not enough to overcome The Quick and the Dead's primary fault.",1/1/00,13934,The Quick and the Dead
Mick LaSalle,0,114214,San Francisco Chronicle,"You get lots of clothes here, but no emperor.",1/1/00,13934,The Quick and the Dead
Desson Thomson,0,114214,Washington Post,"Although Stone may be pleasing to some eyes, she's pretty small in the saddle here -- just an innocuous gender twist on the reluctant cowboy hero. And her story of hellbent revenge is about as compelling as a 30-second fragrance commercial.",1/1/00,13934,The Quick and the Dead
,0,114214,Entertainment Weekly,,2/10/95,13934,The Quick and the Dead
Lisa Schwarzbaum,0,114296,Entertainment Weekly,,9/7/11,11461,Roommates
Todd McCarthy,0,114296,Variety,,3/26/09,11461,Roommates
Janet Maslin,0,114296,New York Times,,5/20/03,11461,Roommates
,0,114296,Globe and Mail,,4/12/02,11461,Roommates
Peter Rainer,0,114296,Los Angeles Times,,2/13/01,11461,Roommates
Rita Kempley,0,114296,Washington Post,,1/1/00,11461,Roommates
Desson Thomson,0,114296,Washington Post,,1/1/00,11461,Roommates
Roger Ebert,0,114296,Chicago Sun-Times,,1/1/00,11461,Roommates
James Berardinelli,0,114296,ReelViews,,1/1/00,11461,Roommates
Edward Guthmann,0,114296,San Francisco Chronicle,,1/1/00,11461,Roommates
Owen Gleiberman,0,110907,Entertainment Weekly,,9/7/11,14514,Prêt-à-Porter
Todd McCarthy,0,110907,Variety,,3/26/09,14514,Prêt-à-Porter
David Ansen,0,110907,Newsweek,,8/18/08,14514,Prêt-à-Porter
Geoff Andrew,0,110907,Time Out,,2/9/06,14514,Prêt-à-Porter
Janet Maslin,0,110907,New York Times,"Though it credits Mr. Altman and Barbara Shulgasser as writers, this film seems practically scriptless, to the point where much of it plays like a first rehearsal.",5/17/04,14514,Prêt-à-Porter
Stanley Kauffmann,0,110907,The New Republic,,1/1/00,14514,Prêt-à-Porter
Rita Kempley,0,110907,Washington Post,The picture is not a social satire. It's a mess.,1/1/00,14514,Prêt-à-Porter
Roger Ebert,0,110907,Chicago Sun-Times,"Altman and his writer, former Chicago Sun-Times reporter Barbara Shulgasser, should have gone further and been meaner; too many of his jokes are generic slapstick, instead of being aimed squarely at industry's targets.",1/1/00,14514,Prêt-à-Porter
James Berardinelli,0,110907,ReelViews,"Despite some delicious moments, this sluggish, overlong, halfhearted satire feels like a movie that wanted to go somewhere but never got there.",1/1/00,14514,Prêt-à-Porter
,0,110907,Entertainment Weekly,,12/23/94,14514,Prêt-à-Porter
Jonathan Rosenbaum,1,111495,Chicago Reader,The third and best feature of Krzysztof Kieslowski's highly ambitious Three Colors trilogy.,8/8/12,266746773,Trois couleurs: Rouge
Lisa Nesselson,1,111495,Variety,"Another deft, deeply affecting variation on Krzysztof Kieslowski's recurring theme that people are interconnected in ways they can barely fathom.",1/22/08,266746773,Trois couleurs: Rouge
Geoff Andrew,1,111495,Time Out,"Stunningly beautiful, powerfully scored and immaculately performed, the film is virtually flawless, and one of the very greatest cinematic achievements of the last few decades. A masterpiece.",2/9/06,266746773,Trois couleurs: Rouge
Janet Maslin,1,111495,New York Times,Red succeeds so stirringly that it also bestows some much-needed magic upon its predecessors.,5/20/03,266746773,Trois couleurs: Rouge
Jonathan Kiefer,1,111495,Salon.com,"Undaunted by the tremendous emotional and moral valence he has by now invited us to expect, Kieslowski controls the film magnificently, putting to use the shapely formal precision he took an entire career to work out.",6/12/02,266746773,Trois couleurs: Rouge
Richard Corliss,1,111495,TIME Magazine,"Visually and emotionally, this is the director's warmest film.",1/1/00,266746773,Trois couleurs: Rouge
John Hartl,1,111495,Film.com,What makes Red watchable is Kieslowski's arresting visual sense.,1/1/00,266746773,Trois couleurs: Rouge
Hal Hinson,1,111495,Washington Post,"Red is not a movie by a filmmaker who has run out of ideas, but one by an artist at the height of his powers.",1/1/00,266746773,Trois couleurs: Rouge
Desson Thomson,1,111495,Washington Post,In this final installment of a glorious trilogy ... [Kieslowski] has saved his greatest for last.,1/1/00,266746773,Trois couleurs: Rouge
Edward Guthmann,1,111495,San Francisco Chronicle,"Jacob is so good in the role, so effective at suggesting a mingling of innocence and intuition, that it's easy to imagine why Red was written with her in mind.",1/1/00,266746773,Trois couleurs: Rouge
Roger Ebert,1,111495,Chicago Sun-Times,This is the kind of film that makes you feel intensely alive while you're watching it.,1/1/00,266746773,Trois couleurs: Rouge
James Berardinelli,1,111495,ReelViews,A subtle masterpiece.,1/1/00,266746773,Trois couleurs: Rouge
